date,category,sales
2024-01-03,Electronics,12000
2024-01-06,Furniture,8000
2024-01-09,Clothing,5000
2024-01-12,Electronics,15000
2024-01-15,Furniture,7000
2024-01-18,Clothing,6500
2024-01-21,Electronics,17000
2024-01-24,Furniture,9000
2024-01-27,Clothing,7200
2024-01-30,Electronics,16000

2024-02-02,Electronics,18000
2024-02-05,Furniture,8500
2024-02-08,Clothing,5400
2024-02-11,Electronics,20000
2024-02-14,Furniture,7800
2024-02-17,Clothing,6900
2024-02-20,Electronics,21000
2024-02-23,Furniture,9200
2024-02-26,Clothing,7500
2024-02-28,Electronics,19500

2024-03-03,Electronics,22000
2024-03-06,Furniture,8800
2024-03-09,Clothing,6000
2024-03-12,Electronics,23000
2024-03-15,Furniture,9400
2024-03-18,Clothing,7800
2024-03-21,Electronics,25000
2024-03-24,Furniture,10200
2024-03-27,Clothing,8300
2024-03-30,Electronics,24000

2024-04-02,Electronics,26000
2024-04-05,Furniture,11000
2024-04-08,Clothing,9000
2024-04-11,Electronics,28000
2024-04-14,Furniture,12000
2024-04-17,Clothing,9500
2024-04-20,Electronics,30000
2024-04-23,Furniture,13000
2024-04-26,Clothing,10000
2024-04-29,Electronics,29000
